title,gross,net,url
Detalhes da remuneração de 11470 referente a 3/2020,"R$ 22.105,34","R$ 14.704,18",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/11470_detalhes.html
Detalhes da remuneração de 11274 referente a 3/2020,"R$ 12.349,49","R$ 8.569,27",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/11274_detalhes.html
Detalhes da remuneração de 11424 referente a 3/2020,"R$ 27.141,94","R$ 17.948,77",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/11424_detalhes.html
Detalhes da remuneração GCM 130 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_130_detalhes.html
Detalhes da remuneração de 11455 referente a 3/2020,"R$ 11.539,73","R$ 8.064,38",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/11455_detalhes.html
Detalhes da remuneração GCM 127 referente a 3/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_127_detalhes.html
Detalhes da remuneração GCM 129 referente a 3/2020,"R$ 2.927,69","R$ 2.927,69",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_129_detalhes.html
Detalhes da remuneração de 11136 referente a 3/2020,"R$ 29.578,64","R$ 19.311,65",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/11136_detalhes.html
Detalhes da remuneração GCM 128 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_128_detalhes.html
Detalhes da remuneração GCM 126 referente a 3/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_126_detalhes.html
Detalhes da remuneração GCM 124 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_124_detalhes.html
Detalhes da remuneração GCM 125 referente a 3/2020,"R$ 4.035,10","R$ 3.991,76",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_125_detalhes.html
Detalhes da remuneração GCM 123 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_123_detalhes.html
Detalhes da remuneração GCM 121 referente a 3/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_121_detalhes.html
Detalhes da remuneração GCM 122 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_122_detalhes.html
Detalhes da remuneração GCM 120 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_120_detalhes.html
