,election_year,name,party,votes,mandates
0,1996,TONINHO PAIVA,PL,62407,6
1,1996,TRIPOLI,PSDB,33590,6
2,1996,MILTON LEITE,PMDB,33401,6
3,1996,GILSON BARRETO,PSDB,27034,6
4,1996,ARSELINO TATTO,PT,26667,6
5,1996,AURÉLIO NOMURA,PSDB,25696,4
6,1996,PAULO FRANGE,PDT,14039,6
7,2000,ARSELINO TATTO,PT,45541,6
8,2000,TRIPOLI,PSDB,40629,6
9,2000,MILTON LEITE,PMDB,39716,6
10,2000,CLAUDIO FONSECA,PC do B,34614,3
11,2000,GILSON BARRETO,PSDB,33845,6
12,2000,GILBERTO NATALINI,PSDB,26210,5
13,2000,TONINHO PAIVA,PFL,25729,6
14,2000,PAULO FRANGE,PTB,22120,6
15,2000,CELSO JATENE,PTB,21002,5
16,2000,ELISEU GABRIEL,PDT,15520,4
17,2004,ARSELINO TATTO,PT,73308,6
18,2004,CELSO JATENE,PTB,69354,5
19,2004,MILTON LEITE,PMDB,63374,6
20,2004,DONATO,PT,58952,4
21,2004,TRIPOLI,PSDB,57405,6
22,2004,GILSON BARRETO,PSDB,55039,6
23,2004,SONINHA,PT,50989,2
24,2004,TONINHO PAIVA,PL,45512,6
25,2004,PAULO FRANGE,PTB,37122,6
26,2004,GILBERTO NATALINI,PSDB,31547,5
27,2004,NOEMI NONATO,PSB,29029,4
28,2004,ADILSON AMADEU,PTB,28354,4
29,2004,POLICE NETO,PSDB,22548,3
30,2004,AURÉLIO NOMURA,PV,16924,4
31,2008,MILTON LEITE,DEM,80051,6
32,2008,SENIVAL MOURA,PT,66139,3
33,2008,ARSELINO TATTO,PT,59292,6
34,2008,DONATO,PT,50388,4
35,2008,CELSO JATENE,PTB,49777,5
36,2008,TRIPOLI,PV,45750,6
37,2008,ADILSON AMADEU,PTB,41686,4
38,2008,PAULO FRANGE,PTB,36881,6
39,2008,TONINHO PAIVA,PR,35535,6
40,2008,ALFREDINHO,PT,33417,3
41,2008,GILSON BARRETO,PSDB,32079,6
42,2008,ELISEU GABRIEL,PSB,31602,4
43,2008,SOUZA SANTOS,PSDB,31352,3
44,2008,NOEMI NONATO,PSB,30734,4
45,2008,JULIANA CARDOSO,PT,30607,3
46,2008,RICARDO TEIXEIRA,PSDB,27248,3
47,2008,SANDRA TADEU,DEM,25173,3
48,2008,GILBERTO NATALINI,PSDB,23872,5
49,2008,CLAUDIO FONSECA,PPS,21038,3
50,2008,DR. MILTON FERREIRA,PPS,14874,2
51,2012,TRIPOLI,PV,132313,6
52,2012,MILTON LEITE,DEM,101664,6
53,2012,OTA,PSB,62693,2
54,2012,MARIO COVAS NETO,PSDB,60697,2
55,2012,ELISEU GABRIEL,PSB,53634,4
56,2012,CELSO JATENE,PTB,52099,5
57,2012,TONINHO PAIVA,PR,48613,6
58,2012,DONATO,PT,47039,4
59,2012,JULIANA CARDOSO,PT,46757,3
60,2012,SENIVAL MOURA,PT,46524,3
61,2012,SANDRA TADEU,DEM,45770,3
62,2012,ADILSON AMADEU,PTB,40100,4
63,2012,SOUZA SANTOS,PSD,39658,3
64,2012,ALFREDINHO,PT,36634,3
65,2012,NOEMI NONATO,PSB,35601,4
66,2012,PATRICIA BEZERRA,PSDB,34511,2
67,2012,EDIR SALES,PSD,34476,2
68,2012,ATILIO FRANCISCO,PRB,32513,2
