,date,candidate,department,expense,value,provider,CNPJ
0,2017-01-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,880.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01
1,2017-01-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,5993.27,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28
2,2017-01-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,219.45,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82
3,2017-01-01,ABOU ANNI,GABINETE DE VEREADOR,TELEFONE MOVEL,266.1,TELEFONICA BRASIL S/A,02.558.157/0001-62
4,2017-02-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91
5,2017-02-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,600.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01
6,2017-02-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6053.87,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28
7,2017-02-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1099.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77
8,2017-02-01,ABOU ANNI,GABINETE DE VEREADOR,TELEFONE MOVEL,197.35,TELEFONICA BRASIL S/A,02.558.157/0001-62
9,2017-03-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,420.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91
10,2017-03-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,600.27,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01
11,2017-03-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,300.0,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00
12,2017-03-01,ABOU ANNI,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,980.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99
