,candidate,cnpj,date,department,expense,partido,provider,sequential_id,value
0,ABOU ANNI,43.900.851/0001-01,2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,PROTOTIPO AUTO POSTO LTDA.,250000011625.0,880.0
1,ABOU ANNI,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,5993.27
2,ABOU ANNI,06.226.820/0001-82,2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,CENTER PAPEIS COMERCIAL LTDA.,250000011625.0,219.45
3,ABOU ANNI,02.558.157/0001-62,2017-01-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,266.1
4,ABOU ANNI,18.811.994/0001-91,2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,150.0
5,ABOU ANNI,43.900.851/0001-01,2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,PROTOTIPO AUTO POSTO LTDA.,250000011625.0,600.0
6,ABOU ANNI,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,6053.87
7,ABOU ANNI,10.376.277/0001-77,2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,IRISARA COMÉRCIO E SERVIÇOS LTDA.,250000011625.0,1099.0
8,ABOU ANNI,02.558.157/0001-62,2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,197.35
9,ABOU ANNI,18.811.994/0001-91,2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,420.0
10,ABOU ANNI,43.900.851/0001-01,2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,PROTOTIPO AUTO POSTO LTDA.,250000011625.0,600.27
11,ABOU ANNI,61.990.693/0001-00,2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,AUTO POSTO PIRAI LTDA.,250000011625.0,300.0
12,ABOU ANNI,18.588.528/0001-99,2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,980.0
13,ABOU ANNI,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,6812.95
14,ABOU ANNI,06.226.820/0001-82,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,CENTER PAPEIS COMERCIAL LTDA.,250000011625.0,253.35
15,ABOU ANNI,19.367.661/0001-88,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,250000011625.0,560.0
16,ABOU ANNI,02.558.157/0001-62,2017-03-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,195.39
17,ABOU ANNI,18.811.994/0001-91,2017-04-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,950.0
18,ABOU ANNI,18.588.528/0001-99,2017-04-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,5072.0
19,ABOU ANNI,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,6483.32
