address,biography,email,floor,name,page_link,party,phone_number,picture,room
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Antes de ingressar na carreira política, Abou Anni exerceu a função de Instrutor de Trânsito e Coordenador de Cursos da Divisão de Educação de Trânsito do Detran – SP, no período de 1988 a 2004, quando foi reformado na condição de 2º Sargento da Policia Militar, passando, desde então, a ser o primeiro Praça eleito na história da Vereança com 14.521 votos e reeleito em 2008 com 22.615 votos. No ano de 2013, com 21.370 votos, Abou Anni reassume o mandato pela terceira vez consecutiva pelo Partido Verde – PV, ao qual está filiado há cerca de 15 anos (desde 2001).Atuou na Câmara Municipal como Membro da Comissão de Trânsito, Membro da Comissão de Saúde, Presidente da Comissão de Administração Pública, Presidente da Comissão de Trânsito, 1º Suplente da Mesa Diretora da Câmara Municipal de São Paulo em 2008, Membro da Comissão de Constituição e Justiça e Membro da Comissão de Finanças e Orçamento. Sua bandeira primordial é o trânsito e transporte, pois além de ostentar vasta experiência nesses ramos, sabe da importância que estes deficientes setores reclamam, sobretudo, na cidade de São Paulo. Até o final de 2014 apresentou 182 projetos que tratam de temas pertinentes ao transporte coletivo, escolar, trânsito, verde e meio ambiente, animais, funcionalismo público e social. Para desenvolver melhor sua função legislativa concluiu o Curso de Direito.",abouanni@uol.com.br,7º,Abou Anni,http://www.camara.sp.gov.br/vereador/abou-anni/,PV,(0xx11) 3396-4525,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/abou-anni.jpg,705
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Arselino Tatto iniciou sua trajetória política na década de 70, ao participar da fundação do Partido dos Trabalhadores. Neste mesmo período assumiu a Presidência do Diretório do PT, em Parelheiros, e tornou-se membro do Diretório Municipal de São Paulo. Os militantes do PT percebem em Arselino Tatto uma grande liderança e lançam sua candidatura, sendo eleito vereador pela primeira vez em 1988. Desde então, foi vitorioso em todas as disputas para o pleito de vereador: em 1992, 1996, 2000, 2004, 2008 e 2012. Em 2003 foi eleito Presidente da Câmara Municipal de São Paulo. Com muita coragem e determinação realizou a Reforma Administrativa, uma proposta engavetada há anos. Cortou gastos, extinguiu verbas indevidas que beneficiavam servidores, reduziu departamentos, criou medidas que geraram uma economia de aproximadamente R$ 28 milhões ao ano. Todas essas ações o conduziram a um segundo mandato, em 2004, na Presidência da Câmara.",arselino@tatto.com.br,11º,Arselino Tatto,http://www.camara.sp.gov.br/vereador/arselino-tatto/,PT,(0xx11) 3396-4001,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/arselino-tatto.jpg,1112
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Empresária e mobilizadora social, Aline Cardoso é nascida e criada em São Paulo. Trabalhou para o Governo do Estado de São Paulo, foi assessora parlamentar na Câmara Municipal de São Paulo e na Assembleia Legislativa de São Paulo, adquirindo experiência na formulação e implementação de políticas públicas. Em 2008 fundou sua consultoria de desenvolvimento de negócios e projetos internacionais.",contato@alinecardosossp.com.br,,Aline Cardoso,http://www.camara.sp.gov.br/vereador/aline-cardoso/,PSDB,(0xx11) 3396-4681,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/Aline-Cardoso-foto-portal.jpg,1109
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Antes de ser vereador, Adilson Amadeu é despachante e empresário. Adepto do esporte, se dedicou à natação durante a juventude, competindo em vários torneios. Chegou a representar o Brasil na categoria master em campeonatos europeus. Através de sua empresa, a SODESP, já foram intermediados mais de 1 milhão de documentos.",contato@adilsonamadeu.com.br,3º,Adilson Amadeu,http://www.camara.sp.gov.br/vereador/adilson-amadeu/,PTB,(0xx11) 3396-4628,http://www.camara.sp.gov.br/wp-content/uploads/2017/02/Vereador_AdilsonAmadeu_2017v2.jpg,315
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Nasci em agosto de 1951 em São Caetano do Sul; uma das 39 cidades que integram a Região Metropolitana de São Paulo. Sou casado há quarenta anos, tenho três filhos.",atiliofrancisco@camara.sp.gov.br,10º,Atilio Francisco,http://www.camara.sp.gov.br/vereador/atilio-francisco/,PRB,(0xx11) 3396-4434,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/atilio-francisco.jpg,1010
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Adriana Ramalho nasceu em São Paulo, fruto de uma mistura pra lá de interessante. Juntou a honestidade e a determinação do pai paraibano, criado na lavoura, com a alegria e a bondade da mãe baiana. Adriana cresceu nos bairros de São Miguel Paulista (zona Leste) e Campo Limpo (zona Sul) e sempre estudou em escolas públicas da região onde morava.",,4º,Adriana Ramalho,http://www.camara.sp.gov.br/vereador/adriana-ramalho/,PSDB,(0xx11) 3396-4233,http://www.camara.sp.gov.br/wp-content/uploads/2016/12/Adriana-Ramalho-site-CMSP.jpg,421
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","A trajetória de vida do metalúrgico Alfredo Alves Cavalcante, o Alfredinho, é marcada pelo compromisso e pela luta em favor da melhoria da qualidade de vida dos trabalhadores e dos moradores de São Paulo.",vereadoralfredinho@camara.sp.gov.br,6º,Alfredinho,http://www.camara.sp.gov.br/vereador/alfredinho/,PT,(0xx11) 3396-4290,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/alfredinho.jpg,620
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",Antonio Donato Madormo nasceu em São Paulo e é administrador de empresas. Elegeu-se vereador pela primeira vez em 2004.,donatopt@terra.com.br,6º,Antonio Donato,http://www.camara.sp.gov.br/vereador/donato/,PT,(0xx11) 3396-4150,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/donato.jpg,605
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Roberval Conte Lopes Lima ingressa em 1967 como soldado na Polícia Militar. Concluiu o Curso de Formação de Oficiais na Academia do Barro Branco em 1970 e como Aspirante Oficial passa a fazer parte das Rondas Ostensivas Tobias de Aguiar – ROTA, no ano de 1974. Tendo participado de várias ocorrências de vulto, é promovido por bravura a 1.º Tenente em 1977.",contelopes@camara.sp.gov.br,4º,Conte Lopes,http://www.camara.sp.gov.br/vereador/conte-lopes/,PP,(0xx11) 3396-4648,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/conte-lopes.jpg,420
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",André Santos é comunicador e líder de movimentos humanitários.,andresantos10456@camara.sp.gov.br,5°,André Santos,http://www.camara.sp.gov.br/vereador/andre-santos/,PRB,(0xx11) 3396-4299,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/2540ErikTeixeira-2.jpg,506
